Journal Title,ISSN (Print),ISSN (Online),Categories
Biophysical reports.,,2667-0747,Biophysics
Journal of biophotonics.,1864-063X,1864-0648,Biophysics
Annual review of biophysics.,1936-122X,1936-1238,Biophysics
European biophysics journal : EBJ.,0175-7571,1432-1017,Biophysics
Bioelectromagnetics.,0197-8462,1521-186X,Biophysics
Quarterly reviews of biophysics.,0033-5835,1469-8994,Biophysics
Biophysical journal.,0006-3495,1542-0086,Biophysics
International journal of biometeorology.,0020-7128,1432-1254,Biophysics
Cells.,,2073-4409,Biophysics; Cell Biology; Molecular Biology
Advanced materials.,0935-9648,1521-4095,Biophysics; Chemistry
Journal of fluorescence.,1053-0509,1573-4994,"Biophysics; Chemistry Techniques, Analytical"
Physical chemistry chemical physics : PCCP.,1463-9076,1463-9084,Biophysics; Chemistry; Physics
Chemphyschem : a European journal of chemical physics and physical chemistry.,1439-4235,1439-7641,Biophysics; Chemistry; Physics
The Journal of chemical physics.,0021-9606,1089-7690,Biophysics; Chemistry; Physics
Physics in medicine and biology.,0031-9155,1361-6560,Biophysics; Diagnostic Imaging; Nuclear Medicine; Physics
Radiation and environmental biophysics.,0301-634X,1432-2099,Biophysics; Environmental Health; Neoplasms; Radiology; Radiotherapy
Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB).,1120-1797,1724-191X,Biophysics; Medicine; Physics
Progress in biophysics and molecular biology.,0079-6107,1873-1732,Biophysics; Molecular Biology
Journal of physics. Condensed matter : an Institute of Physics journal.,0953-8984,1361-648X,Biophysics; Nanotechnology; Physics
Optics express.,,1094-4087,Biophysics; Ophthalmology
Physics of life reviews.,1571-0645,1873-1457,Biophysics; Physics
Journal of applied clinical medical physics,,1526-9914,Biophysics; Physics
Igaku butsuri : Nihon Igaku Butsuri Gakkai kikanshi = Japanese journal of medical physics : an official journal of Japan Society of Medical Physics.,1345-5354,2186-9634,Biophysics; Physics
"The European physical journal. E, Soft matter.",1292-8941,1292-895X,Biophysics; Physics
Journal of biological physics.,0092-0606,1573-0689,Biophysics; Physics
Reports on progress in physics.,0034-4885,1361-6633,Biophysics; Physics
Medical physics.,0094-2405,2473-4209,Biophysics; Physics; Radiology; Radiotherapy
Radiological physics and technology.,1865-0333,1865-0341,Biophysics; Physics; Radiology; Technology
Physical review. E.,2470-0045,2470-0053,Biophysics; Physics; Statistics as Topic
General physiology and biophysics.,0231-5882,1338-4325,Biophysics; Physiology
Biorheology.,0006-355X,1878-5034,Biophysics; Physiology
Biosensors.,,2079-6374,Biotechnology
Biofabrication.,1758-5082,1758-5090,Biotechnology
Recent patents on biotechnology.,1872-2083,2212-4012,Biotechnology
Biopreservation and biobanking.,1947-5535,1947-5543,Biotechnology
Biotechnology journal.,1860-6768,1860-7314,Biotechnology
Regenerative medicine.,1746-0751,1746-076X,Biotechnology
BMC biotechnology.,,1472-6750,Biotechnology
Journal of biomolecular techniques : JBT.,1524-0215,1943-4731,Biotechnology
Nature biotechnology.,1087-0156,1546-1696,Biotechnology
Current opinion in biotechnology.,0958-1669,1879-0429,Biotechnology
Biosensors & bioelectronics.,0956-5663,1873-4235,Biotechnology
Journal of biotechnology.,0168-1656,1873-4863,Biotechnology
Critical reviews in biotechnology.,0738-8551,1549-7801,Biotechnology
Biotechnology progress.,8756-7938,1520-6033,Biotechnology
Sheng wu gong cheng xue bao = Chinese journal of biotechnology.,1000-3061,1872-2075,Biotechnology
BioTechniques.,0736-6205,1940-9818,Biotechnology
Trends in biotechnology.,0167-7799,1879-3096,Biotechnology
Biotechnology advances.,0734-9750,1873-1899,Biotechnology
Biotechnology letters.,0141-5492,1573-6776,Biotechnology
Plant biotechnology journal.,1467-7644,1467-7652,Biotechnology; Botany
GM crops & food.,2164-5698,2164-5701,Biotechnology; Botany; Molecular Biology
Molecular and cellular probes.,0890-8508,1096-1194,Biotechnology; Cell Biology; Molecular Biology
Lab on a chip.,1473-0197,1473-0189,Biotechnology; Chemistry
ACS sensors.,,2379-3694,"Biotechnology; Chemistry Techniques, Analytical"
Mikrochimica acta.,0026-3672,1436-5073,Biotechnology; Chemistry; Nanotechnology
Journal of tissue engineering and regenerative medicine.,1932-6254,1932-7005,Biotechnology; Histology
Tissue engineering. Part A.,1937-3341,1937-335X,Biotechnology; Histology
