Journal Title,ISSN (Print),ISSN (Online),Categories
Expert opinion on emerging drugs.,1472-8214,1744-7623,Drug Therapy
Current drug targets.,1389-4501,1873-5592,Drug Therapy
Expert opinion on investigational drugs.,1354-3784,1744-7658,Drug Therapy
Revista española de quimioterapia : publicación oficial de la Sociedad Española de Quimioterapia.,0214-3429,1988-9518,Drug Therapy
Critical reviews in therapeutic drug carrier systems.,0743-4863,2162-660X,Drug Therapy
Pharmacotherapy.,0277-0008,1875-9114,Drug Therapy
Therapeutic drug monitoring.,0163-4356,1536-3694,Drug Therapy
Chemotherapy.,0009-3157,1421-9794,Drug Therapy
Pharmacoepidemiology and drug safety.,1053-8569,1099-1557,Drug Therapy; Epidemiology
Alimentary pharmacology & therapeutics.,0269-2813,1365-2036,Drug Therapy; Gastroenterology; Pharmacology
Drugs & aging.,1170-229X,1179-1969,Drug Therapy; Geriatrics
Magnesium research.,0953-1424,1952-4021,Drug Therapy; Metabolism; Pharmacology
Cancer treatment and research communications.,,2468-2942,Drug Therapy; Neoplasms
Recent patents on anti-cancer drug discovery.,1574-8928,2212-3970,Drug Therapy; Neoplasms; Pharmacology
CNS & neurological disorders drug targets.,1871-5273,1996-3181,Drug Therapy; Neurology
CNS drugs.,1172-7047,1179-1934,Drug Therapy; Neurology; Pharmacology
Journal of opioid management.,1551-7489,,Drug Therapy; Neurology; Psychophysiology; Substance-Related Disorders
Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics.,1080-7683,1557-7732,Drug Therapy; Ophthalmology; Pharmacology
Journal of pain & palliative care pharmacotherapy.,1536-0288,1536-0539,Drug Therapy; Palliative Care; Psychophysiology
Paediatric drugs.,1174-5878,1179-2019,Drug Therapy; Pediatrics
Clinical pharmacology in drug development.,2160-763X,2160-7648,Drug Therapy; Pharmacology
Drug research.,2194-9379,2194-9387,Drug Therapy; Pharmacology
"Drug design, development and therapy.",,1177-8881,Drug Therapy; Pharmacology
Drug discoveries & therapeutics.,1881-7831,1881-784X,Drug Therapy; Pharmacology
Current drug safety.,1574-8863,2212-3911,Drug Therapy; Pharmacology
Current drug delivery.,1567-2018,1875-5704,Drug Therapy; Pharmacology
The AAPS journal.,,,Drug Therapy; Pharmacology
Expert opinion on drug delivery.,1742-5247,1744-7593,Drug Therapy; Pharmacology
Expert opinion on drug safety.,1474-0338,1744-764X,Drug Therapy; Pharmacology
Nature reviews. Drug discovery.,1474-1776,1474-1784,Drug Therapy; Pharmacology
Drugs in R&D.,1174-5886,1179-6901,Drug Therapy; Pharmacology
Drug discovery today.,1359-6446,1878-5832,Drug Therapy; Pharmacology
International journal of clinical pharmacology and therapeutics.,0946-1965,,Drug Therapy; Pharmacology
Clinical drug investigation.,1173-2563,1179-1918,Drug Therapy; Pharmacology
The Annals of pharmacotherapy.,1060-0280,1542-6270,Drug Therapy; Pharmacology
PharmacoEconomics.,1170-7690,1179-2027,Drug Therapy; Pharmacology
Drug delivery.,1071-7544,1521-0464,Drug Therapy; Pharmacology
Inflammopharmacology.,0925-4692,1568-5608,Drug Therapy; Pharmacology
"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences.",1560-8115,2008-2231,Drug Therapy; Pharmacology
Advanced drug delivery reviews.,0169-409X,1872-8294,Drug Therapy; Pharmacology
Drug development research.,0272-4391,1098-2299,Drug Therapy; Pharmacology
European journal of clinical pharmacology.,0031-6970,1432-1041,Drug Therapy; Pharmacology
Drugs.,0012-6667,1179-1950,Drug Therapy; Pharmacology
