Journal Title,ISSN (Print),ISSN (Online),Categories
Spatial and spatio-temporal epidemiology.,1877-5845,1877-5853,Epidemiology
Epidemics.,1755-4365,1878-0067,Epidemiology
Revista brasileira de epidemiologia = Brazilian journal of epidemiology.,1415-790X,1980-5497,Epidemiology
Journal of epidemiology,0917-5040,1349-9092,Epidemiology
Epidemiology.,1044-3983,1531-5487,Epidemiology
Annals of epidemiology.,1047-2797,1873-2585,Epidemiology
Journal of clinical epidemiology.,0895-4356,1878-5921,Epidemiology
European journal of epidemiology.,0393-2990,1573-7284,Epidemiology
Epidemiologic reviews.,0193-936X,1478-6729,Epidemiology
Epidemiologia e prevenzione.,1120-9763,,Epidemiology
International journal of epidemiology.,0300-5771,1464-3685,Epidemiology
American journal of epidemiology.,0002-9262,1476-6256,Epidemiology
Population studies.,0032-4728,1477-4747,Epidemiology
Przegla̧d epidemiologiczny.,0033-2100,,Epidemiology
Genetic epidemiology.,0741-0395,1098-2272,"Epidemiology; Genetics, Medical"
Journal of epidemiology and community health.,0143-005X,1470-2738,Epidemiology; Health Services; Public Health
Revista médica del Instituto Mexicano del Seguro Social.,0443-5117,2448-5667,Epidemiology; Medicine; Public Health
MSMR.,2158-0111,2152-8217,Epidemiology; Military Medicine
Cancer epidemiology.,1877-7821,1877-783X,Epidemiology; Neoplasms
Cancer causes & control : CCC.,0957-5243,1573-7225,Epidemiology; Neoplasms
Journal of registry management.,1945-6123,1945-6131,Epidemiology; Neoplasms
Neuroepidemiology.,0251-5350,1423-0208,Epidemiology; Neurology
Ophthalmic epidemiology.,0928-6586,1744-5086,Epidemiology; Ophthalmology
Paediatric and perinatal epidemiology.,0269-5022,1365-3016,Epidemiology; Pediatrics; Perinatology
Epidemiology and psychiatric sciences.,2045-7960,2045-7979,Epidemiology; Psychiatry
Social psychiatry and psychiatric epidemiology.,0933-7954,1433-9285,Epidemiology; Psychiatry; Social Sciences
Journal of epidemiology and population health.,2950-4368,2950-4333,Epidemiology; Public Health
JAMA health forum.,,2689-0186,Epidemiology; Public Health
Public health research & practice.,,2204-2091,Epidemiology; Public Health
"Health promotion and chronic disease prevention in Canada : research, policy and practice.",,2368-738X,Epidemiology; Public Health
BMJ global health.,,2059-7908,Epidemiology; Public Health
Journal of epidemiology and global health.,2210-6006,2210-6014,Epidemiology; Public Health
Epidemiology and health.,,2092-7193,Epidemiology; Public Health
Western Pacific surveillance and response journal : WPSAR.,2094-7321,2094-7313,Epidemiology; Public Health
Epidemiologia e serviços de saúde : revista do Sistema Unico de Saúde do Brasil.,1679-4974,2237-9622,Epidemiology; Public Health
Scandinavian journal of public health.,1403-4948,1651-1905,Epidemiology; Public Health
Journal of urban health : bulletin of the New York Academy of Medicine.,1099-3460,1468-2869,Epidemiology; Public Health
Health & place.,1353-8292,1873-2054,Epidemiology; Public Health
Journal of medical screening.,0969-1413,1475-5793,Epidemiology; Public Health
Central European journal of public health.,1210-7778,,Epidemiology; Public Health
European journal of public health.,1101-1262,1464-360X,Epidemiology; Public Health
International journal of health geographics.,,1476-072X,Epidemiology; Public Health
Journal of racial and ethnic health disparities.,2197-3792,2196-8837,Epidemiology; Public Health; Social Sciences
Population health metrics.,,1478-7954,Epidemiology; Public Health; Statistics as Topic; Vital Statistics
BMJ military health.,2633-3767,2633-3775,Military Medicine
The Medical journal,2694-3581,2694-3611,Military Medicine
Military Medical Research.,2095-7467,2054-9369,Military Medicine
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals.,1553-9768,,Military Medicine
Military medicine.,0026-4075,1930-613X,Military Medicine
"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc.",1066-2936,,Military Medicine; Physiology; Sports Medicine
Journal of traumatic stress.,0894-9867,1573-6598,Military Medicine; Psychology
"Military psychology : the official journal of the Division of Military Psychology, American Psychological Association.",0899-5605,1532-7876,Military Medicine; Psychology
"Medicine, conflict, and survival.",1362-3699,1743-9396,Military Medicine; Social Sciences
Diving and hyperbaric medicine.,1833-3516,2209-1491,Military Medicine; Sports Medicine
International maritime health.,1641-9251,2081-3252,Military Medicine; Tropical Medicine
Annals of work exposures and health.,2398-7308,2398-7316,Occupational Medicine
Archivos de prevención de riesgos laborales.,1138-9672,1578-2549,Occupational Medicine
Journal of agricultural safety and health.,1074-7583,,Occupational Medicine
Journal of occupational health.,1341-9145,1348-9585,Occupational Medicine
Journal of agromedicine.,1059-924X,1545-0813,Occupational Medicine
Sangyō eiseigaku zasshi = Journal of occupational health.,1341-0725,1349-533X,Occupational Medicine
Occupational medicine.,0962-7480,1471-8405,Occupational Medicine
"Work : a journal of prevention, assessment, and rehabilitation.",1051-9815,1875-9270,Occupational Medicine
Medical problems of performing artists.,0885-1158,1938-2766,Occupational Medicine
Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases.,1001-9391,,Occupational Medicine
American journal of industrial medicine.,0271-3586,1097-0274,Occupational Medicine
La Medicina del lavoro.,0025-7818,2532-1080,Occupational Medicine
"OTJR : occupation, participation and health.",1539-4492,1938-2383,Occupational Medicine; Physical and Rehabilitation Medicine; Psychiatry
Journal of occupational health psychology.,1076-8998,1939-1307,Occupational Medicine; Psychology
International journal of occupational safety and ergonomics : JOSE.,1080-3548,2376-9130,Occupational Medicine; Psychology
Toxicology and industrial health.,0748-2337,1477-0393,Occupational Medicine; Toxicology
Arhiv za higijenu rada i toksikologiju.,0004-1254,1848-6312,Occupational Medicine; Toxicology
Journal of prevention.,2731-5533,2731-5541,Public Health
The Lancet. Public health.,,2468-2667,Public Health
WHO South-East Asia journal of public health.,2224-3151,2304-5272,Public Health
The Lancet. Global health.,,2214-109X,Public Health
Frontiers in public health.,,2296-2565,Public Health
"Global health, science and practice.",,2169-575X,Public Health
Social work in public health.,1937-1918,1937-190X,Public Health
Journal of communication in healthcare.,1753-8068,1753-8076,Public Health
Global health action.,1654-9716,1654-9880,Public Health
Perspectives in public health.,1757-9139,1757-9147,Public Health
Global public health.,1744-1692,1744-1706,Public Health
"Progress in community health partnerships : research, education, and action.",1557-0541,1557-055X,Public Health
International journal of public health.,1661-8556,1661-8564,Public Health
Journal of research in health sciences.,2228-7795,2228-7809,Public Health
Journal of public health.,1741-3842,1741-3850,Public Health
